Job_id,Title,Vacancy URL,Company ID,Published,End_date,Salary Range min,Salary Range max,Location ID,company_id,Company name,Company URL,location_id,City,Region,Country
106,AML Transaction Monitoring Analyst,https://www.cv.lv/lv/vacancy/994643/sol-business-services-sia/aml-transaction-monitoring-analyst,75,2023-05-04,04.06.2023,2450.0,3350.0,1,75,SOL Business Services SIA,https://www.cv.lv/lv/search/employer/sol-business-services-sia?employerId=24296&employerName=SOL Business Services SIA,1, Rīga, Rīgas rajons, Latvija
107,Data Scientist/ Fraud Specialist,https://www.cv.lv/lv/vacancy/995087/avafin-latvia-sia/data-scientist-fraud-specialist,76,2023-05-05,05.06.2023,1800.0,3600.0,1,76,Avafin Latvia SIA,https://www.cv.lv/lv/search/employer/avafin-latvia-sia?employerId=24368&employerName=Avafin Latvia SIA,1, Rīga, Rīgas rajons, Latvija
108,System Analyst,https://www.cv.lv/lv/vacancy/999501/luminor-bank-as-latvijas-filiale/system-analyst,26,2023-05-16,05.06.2023,1810.0,2700.0,1,26,Luminor Bank AS Latvijas filiāle,https://www.cv.lv/lv/search/employer/luminor-bank-as-latvijas-filiale?employerId=29434&employerName=Luminor Bank AS Latvijas filiāle,1, Rīga, Rīgas rajons, Latvija
109,Senior System Analyst,https://www.cv.lv/lv/vacancy/999839/luminor-bank-as-latvijas-filiale/senior-system-analyst,26,2023-05-16,05.06.2023,2460.0,3600.0,1,26,Luminor Bank AS Latvijas filiāle,https://www.cv.lv/lv/search/employer/luminor-bank-as-latvijas-filiale?employerId=29434&employerName=Luminor Bank AS Latvijas filiāle,1, Rīga, Rīgas rajons, Latvija
110,Finance Controller / Data Analyst in Marketing,https://www.cv.lv/lv/vacancy/997711/lidl/finance-controller-data-analyst-in-marketing,77,2023-05-10,07.06.2023,1800.0,2200.0,1,77,Lidl,https://www.cv.lv/lv/search/employer/lidl?employerId=28222&employerName=Lidl,1, Rīga, Rīgas rajons, Latvija
111,Senior compliance analyst – Transaction Monitoring,https://www.cv.lv/lv/vacancy/996301/sia-dynatech/senior-compliance-analyst-transaction-monitoring,8,2023-05-08,08.06.2023,2800.0,,1,8,"SIA ""Dynatech""","https://www.cv.lv/lv/search/employer/sia-dynatech?employerId=30946&employerName=SIA ""Dynatech""",1, Rīga, Rīgas rajons, Latvija
112,Senior Data Management Analyst,https://www.cv.lv/lv/vacancy/971022/alliance-for-recruitment/senior-data-management-analyst,13,,08.06.2023,2380.0,3560.0,3,13,Alliance for Recruitment,https://www.cv.lv/lv/search/employer/alliance-for-recruitment?employerId=16025&employerName=Alliance for Recruitment,3,,, Latvija
113,Data Analyst,https://www.cv.lv/lv/vacancy/996287/sph-engineering-sia/data-analyst,78,2023-05-16,08.06.2023,2500.0,,8,78,"SPH Engineering, SIA","https://www.cv.lv/lv/search/employer/sph-engineering-sia?employerId=27347&employerName=SPH Engineering, SIA",8, Baloži, Rīgas rajons, Latvija
114,Vadošais ķīmiķis (e) analītiķis (e),https://www.cv.lv/lv/vacancy/995867/olainfarm-as/vadosais-kimikis-e-analitikis-e,79,2023-05-08,08.06.2023,2200.0,,5,79,Olainfarm AS,https://www.cv.lv/lv/search/employer/olainfarm-as?employerId=17111&employerName=Olainfarm AS,5, Olaine, Rīgas rajons, Latvija
115,IT projektu analītiķis/ Аналитик в IT-проект,https://www.cv.lv/lv/vacancy/995984/softgamings-vai-sia-socrates/it-projektu-analitikis-analitik-v-it-proekt,80,2023-05-08,08.06.2023,1500.0,2200.0,1,80,SoftGamings | SIA SOCRATES,https://www.cv.lv/lv/search/employer/softgamings-vai-sia-socrates?employerId=27547&employerName=SoftGamings | SIA SOCRATES,1, Rīga, Rīgas rajons, Latvija
116,Sales Analyst (Sportsbook),https://www.cv.lv/lv/vacancy/995986/softgamings-vai-sia-socrates/sales-analyst-sportsbook,80,2023-05-08,08.06.2023,2000.0,2500.0,1,80,SoftGamings | SIA SOCRATES,https://www.cv.lv/lv/search/employer/softgamings-vai-sia-socrates?employerId=27547&employerName=SoftGamings | SIA SOCRATES,1, Rīga, Rīgas rajons, Latvija
117,IT projektu UX-specialists-analītiķis/ UX-специалист-аналитик в IT-проект,https://www.cv.lv/lv/vacancy/995982/softgamings-vai-sia-socrates/it-projektu-ux-specialists-analitikis-ux-specialist-analitik-v-it-proekt,80,2023-05-08,08.06.2023,1500.0,2200.0,1,80,SoftGamings | SIA SOCRATES,https://www.cv.lv/lv/search/employer/softgamings-vai-sia-socrates?employerId=27547&employerName=SoftGamings | SIA SOCRATES,1, Rīga, Rīgas rajons, Latvija
118,Data Storytelling Expert (Data Analyst),https://www.cv.lv/lv/vacancy/996173/scandiweb/data-storytelling-expert-data-analyst,3,2023-05-16,08.06.2023,2000.0,3000.0,1,3,scandiweb,https://www.cv.lv/lv/search/employer/scandiweb?employerId=29385&employerName=scandiweb,1, Rīga, Rīgas rajons, Latvija
119,Datu analītiķis (-e),https://www.cv.lv/lv/vacancy/997257/aizdevums-lv/datu-analitikis-e,81,2023-05-09,09.06.2023,1600.0,2000.0,1,81,Aizdevums.lv,https://www.cv.lv/lv/search/employer/aizdevums-lv?employerId=28564&employerName=Aizdevums.lv,1, Rīga, Rīgas rajons, Latvija
120,VECĀKAIS ĶĪMIĶIS– ANALĪTIĶIS produktu attīstības laboratorijā,https://www.cv.lv/lv/vacancy/997175/pharmidea-sia/vecakais-kimikis-analitikis-produktu-attistibas-laboratorija,52,2023-05-09,09.06.2023,1700.0,,5,52,PHARMIDEA SIA,https://www.cv.lv/lv/search/employer/pharmidea-sia?employerId=24470&employerName=PHARMIDEA SIA,5, Olaine, Rīgas rajons, Latvija
121,Sistēmas analītiķis,https://www.cv.lv/lv/vacancy/998904/lauksaimniecibas-datu-centrs/sistemas-analitikis,82,2023-05-12,09.06.2023,1245.0,,1,82,Lauksaimniecības datu centrs,https://www.cv.lv/lv/search/employer/lauksaimniecibas-datu-centrs?employerId=30300&employerName=Lauksaimniecības datu centrs,1, Rīga, Rīgas rajons, Latvija
122,Senior finance analyst,https://www.cv.lv/lv/vacancy/996665/kronus-sia/senior-finance-analyst,83,2023-05-15,09.06.2023,2000.0,3800.0,1,83,KRONUS SIA,https://www.cv.lv/lv/search/employer/kronus-sia?employerId=14445&employerName=KRONUS SIA,1, Rīga, Rīgas rajons, Latvija
123,Datu ievades operators/e,https://www.cv.lv/lv/vacancy/997217/konig-distribution-as/datu-ievades-operators-e,84,2023-05-16,09.06.2023,900.0,,9,84,König Distribution AS,https://www.cv.lv/lv/search/employer/konig-distribution-as?employerId=27629&employerName=König Distribution AS,9, Liepāja, Liepājas rajons, Latvija
124,Biznesa analītikas (BI) eksperts/-e,https://www.cv.lv/lv/vacancy/996869/elva-baltic-sia/biznesa-analitikas-bi-eksperts-e,85,2023-05-09,09.06.2023,2500.0,3500.0,1,85,Elva Baltic SIA,https://www.cv.lv/lv/search/employer/elva-baltic-sia?employerId=17282&employerName=Elva Baltic SIA,1, Rīga, Rīgas rajons, Latvija
